"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty48135","Ector County, TX",59216
"cty19103","Johnson County, IA",59215
"cty40087","McClain County, OK",59189
"cty39089","Licking County, OH",59176
"cty05007","Benton County, AR",59153
"cty27049","Goodhue County, MN",59150
"cty46065","Hughes County, SD",59079
"cty21037","Campbell County, KY",59079
"cty46119","Sully County, SD",59055
"cty19149","Plymouth County, IA",59023
"cty48413","Schleicher County, TX",59021
"cty48015","Austin County, TX",58878
"cty51019","Bedford County, VA",58870
"cty26099","Macomb County, MI",58778
"cty42011","Berks County, PA",58749
"cty27027","Clay County, MN",58746
"cty31109","Lancaster County, NE",58693
"cty46099","Minnehaha County, SD",58690
"cty29099","Jefferson County, MO",58681
"cty20069","Gray County, KS",58652
"cty45019","Charleston County, SC",58635
"cty18109","Morgan County, IN",58632
"cty35025","Lea County, NM",58618
"cty05125","Saline County, AR",58595
"cty33019","Sullivan County, NH",58595
"cty19059","Dickinson County, IA",58581
"cty36067","Onondaga County, NY",58572
"cty26089","Leelanau County, MI",58530
"cty48383","Reagan County, TX",58519
"cty37037","Chatham County, NC",58518
"cty40145","Wagoner County, OK",58498
"cty19163","Scott County, IA",58492
"cty38049","McHenry County, ND",58491
"cty19061","Dubuque County, IA",58475
"cty34001","Atlantic County, NJ",58463
"cty21239","Woodford County, KY",58463
"cty26081","Kent County, MI",58408
"cty39049","Franklin County, OH",58407
"cty25025","Suffolk County, MA",58386
"cty50011","Franklin County, VT",58372
"cty18037","Dubois County, IN",58371
"cty36053","Madison County, NY",58369
"cty42089","Monroe County, PA",58308
"cty50023","Washington County, VT",58303
"cty51630","Fredericksburg city, VA",58295
"cty17129","Menard County, IL",58272
"cty21029","Bullitt County, KY",58245
"cty12091","Okaloosa County, FL",58188
"cty21117","Kenton County, KY",58123
"cty30049","Lewis and Clark County, MT",58097
"cty48165","Gaines County, TX",58059
"cty55045","Green County, WI",58048
"cty18171","Warren County, IN",58042
"cty38087","Slope County, ND",58018
"cty36107","Tioga County, NY",57977
"cty36055","Monroe County, NY",57944
"cty20031","Coffey County, KS",57931
"cty48325","Medina County, TX",57921
"cty31141","Platte County, NE",57890
"cty13089","DeKalb County, GA",57882
"cty38091","Steele County, ND",57873
"cty06077","San Joaquin County, CA",57866
"cty48475","Ward County, TX",57866
"cty06005","Amador County, CA",57862
"cty19055","Delaware County, IA",57811
"cty27093","Meeker County, MN",57799
"cty54079","Putnam County, WV",57799
"cty38043","Kidder County, ND",57798
"cty56007","Carbon County, WY",57790
"cty30031","Gallatin County, MT",57784
"cty55061","Kewaunee County, WI",57758
"cty17119","Madison County, IL",57706
"cty06071","San Bernardino County, CA",57689
"cty26111","Midland County, MI",57686
"cty24043","Washington County, MD",57685
"cty36113","Warren County, NY",57657
"cty48097","Cooke County, TX",57650
"cty39173","Wood County, OH",57629
"cty30095","Stillwater County, MT",57587
"cty08113","San Miguel County, CO",57579
"cty27143","Sibley County, MN",57537
"cty31167","Stanton County, NE",57526
"cty48221","Hood County, TX",57520
"cty33005","Cheshire County, NH",57509
"cty55059","Kenosha County, WI",57495
"cty55055","Jefferson County, WI",57467
"cty16081","Teton County, ID",57448
"cty51007","Amelia County, VA",57443
"cty38017","Cass County, ND",57436
"cty27145","Stearns County, MN",57430
"cty48113","Dallas County, TX",57411
"cty17141","Ogle County, IL",57404
"cty20101","Lane County, KS",57353
"cty20197","Wabaunsee County, KS",57348
"cty27085","McLeod County, MN",57340
"cty53055","San Juan County, WA",57322
"cty37097","Iredell County, NC",57321
"cty32033","White Pine County, NV",57298
"cty24047","Worcester County, MD",57278
"cty38077","Richland County, ND",57253
"cty42093","Montour County, PA",57251
"cty55009","Brown County, WI",57248
"cty55101","Racine County, WI",57240
"cty38073","Ransom County, ND",57231
"cty42099","Perry County, PA",57229
"cty35049","Santa Fe County, NM",57158
"cty47167","Tipton County, TN",57154
"cty39093","Lorain County, OH",57152
"cty55039","Fond du Lac County, WI",57143
"cty46087","McCook County, SD",57124
"cty54003","Berkeley County, WV",57083
"cty38081","Sargent County, ND",57073
"cty48495","Winkler County, TX",57052
"cty16029","Caribou County, ID",57040
"cty18005","Bartholomew County, IN",56972
"cty49003","Box Elder County, UT",56969
"cty46079","Lake County, SD",56944
"cty31143","Polk County, NE",56941
"cty22063","Livingston Parish, LA",56927
"cty38021","Dickey County, ND",56910
"cty26115","Monroe County, MI",56895
"cty48497","Wise County, TX",56892
"cty19125","Marion County, IA",56887
"cty20203","Wichita County, KS",56878
"cty48311","McMullen County, TX",56872
"cty26045","Eaton County, MI",56832
"cty48469","Victoria County, TX",56819
"cty29049","Clinton County, MO",56816
"cty29003","Andrew County, MO",56809
"cty42043","Dauphin County, PA",56799
"cty48501","Yoakum County, TX",56782
"cty53057","Skagit County, WA",56780
"cty20087","Jefferson County, KS",56770
"cty48239","Jackson County, TX",56768
"cty27041","Douglas County, MN",56766
"cty19183","Washington County, IA",56726
"cty25011","Franklin County, MA",56724
"cty56041","Uinta County, WY",56722
"cty51157","Rappahannock County, VA",56713
"cty47147","Robertson County, TN",56684
"cty41027","Hood River County, OR",56671
"cty28073","Lamar County, MS",56655
"cty42055","Franklin County, PA",56651
"cty36029","Erie County, NY",56647
"cty39153","Summit County, OH",56644
"cty18013","Brown County, IN",56637
"cty30111","Yellowstone County, MT",56628
"cty39149","Shelby County, OH",56606
"cty18115","Ohio County, IN",56579
"cty13097","Douglas County, GA",56545
"cty48171","Gillespie County, TX",56542
"cty45063","Lexington County, SC",56538
"cty37063","Durham County, NC",56529
"cty39061","Hamilton County, OH",56506
"cty53021","Franklin County, WA",56504
"cty19191","Winneshiek County, IA",56504
"cty47093","Knox County, TN",56456
"cty29051","Cole County, MO",56456
"cty51033","Caroline County, VA",56455
"cty18073","Jasper County, IN",56453
"cty06051","Mono County, CA",56437
"cty26055","Grand Traverse County, MI",56408
"cty48269","King County, TX",56372
"cty50027","Windsor County, VT",56365
"cty38003","Barnes County, ND",56365
"cty42075","Lebanon County, PA",56361
"cty55049","Iowa County, WI",56359
"cty19139","Muscatine County, IA",56312
"cty23023","Sagadahoc County, ME",56259
"cty48301","Loving County, TX",56166
"cty12057","Hillsborough County, FL",56139
"cty30021","Dawson County, MT",56134
"cty16013","Blaine County, ID",56132
"cty31135","Perkins County, NE",56089
"cty55073","Marathon County, WI",56071
"cty13153","Houston County, GA",56070
"cty31115","Loup County, NE",56043
