"cty","Name","Poverty_Rate_in_2012-16"
"cty48073","Cherokee County, TX",0.2187
"cty48429","Stephens County, TX",0.2187
"cty47157","Shelby County, TN",0.2186
"cty46123","Tripp County, SD",0.2184
"cty26153","Schoolcraft County, MI",0.2184
"cty13215","Muscogee County, GA",0.2179
"cty40141","Tillman County, OK",0.2178
"cty51025","Brunswick County, VA",0.2177
"cty19047","Crawford County, IA",0.2176
"cty13249","Schley County, GA",0.2176
"cty29023","Butler County, MO",0.2174
"cty51131","Northampton County, VA",0.2174
"cty48375","Potter County, TX",0.2172
"cty40005","Atoka County, OK",0.2172
"cty28161","Yalobusha County, MS",0.2171
"cty13305","Wayne County, GA",0.217
"cty05101","Newton County, AR",0.2169
"cty55079","Milwaukee County, WI",0.2166
"cty49021","Iron County, UT",0.2165
"cty22101","St. Mary Parish, LA",0.2164
"cty01059","Franklin County, AL",0.2161
"cty48247","Jim Hogg County, TX",0.2161
"cty35017","Grant County, NM",0.216
"cty26095","Luce County, MI",0.2159
"cty06007","Butte County, CA",0.2158
"cty12029","Dixie County, FL",0.2157
