"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty51045","Craig County, VA",0.9026
"cty27053","Hennepin County, MN",0.9025
"cty55115","Shawano County, WI",0.9025
"cty51830","Williamsburg city, VA",0.9025
"cty55033","Dunn County, WI",0.9025
"cty24023","Garrett County, MD",0.9024
"cty41037","Lake County, OR",0.9024
"cty19111","Lee County, IA",0.9023
"cty19153","Polk County, IA",0.9022
"cty09011","New London County, CT",0.9022
"cty53051","Pend Oreille County, WA",0.9022
"cty21135","Lewis County, KY",0.9022
"cty05045","Faulkner County, AR",0.9021
"cty06013","Contra Costa County, CA",0.902
"cty39085","Lake County, OH",0.902
"cty56035","Sublette County, WY",0.902
"cty19101","Jefferson County, IA",0.9019
"cty27069","Kittson County, MN",0.9019
"cty19041","Clay County, IA",0.9019
"cty48085","Collin County, TX",0.9018
"cty48075","Childress County, TX",0.9018
"cty54105","Wirt County, WV",0.9018
"cty19117","Lucas County, IA",0.9018
"cty19097","Jackson County, IA",0.9018
"cty31019","Buffalo County, NE",0.9018
"cty18081","Johnson County, IN",0.9018
"cty02122","Kenai Peninsula Borough, AK",0.9017
"cty39121","Noble County, OH",0.9016
"cty30053","Lincoln County, MT",0.9015
"cty19025","Calhoun County, IA",0.9015
"cty49021","Iron County, UT",0.9014
"cty49049","Utah County, UT",0.9014
"cty50007","Chittenden County, VT",0.9014
"cty39133","Portage County, OH",0.9013
"cty27169","Winona County, MN",0.9013
"cty19131","Mitchell County, IA",0.9012
"cty17103","Lee County, IL",0.9011
"cty19181","Warren County, IA",0.9011
"cty37121","Mitchell County, NC",0.901
"cty51083","Halifax County, VA",0.901
"cty46005","Beadle County, SD",0.9009
"cty31139","Pierce County, NE",0.9009
"cty24041","Talbot County, MD",0.9009
"cty17099","LaSalle County, IL",0.9009
"cty27123","Ramsey County, MN",0.9008
"cty27089","Marshall County, MN",0.9008
"cty16059","Lemhi County, ID",0.9008
"cty42107","Schuylkill County, PA",0.9008
"cty27119","Polk County, MN",0.9007
"cty39165","Warren County, OH",0.9007
"cty21143","Lyon County, KY",0.9007
"cty19161","Sac County, IA",0.9006
"cty17157","Randolph County, IL",0.9006
"cty51079","Greene County, VA",0.9006
"cty51115","Mathews County, VA",0.9006
"cty20153","Rawlins County, KS",0.9005
"cty08069","Larimer County, CO",0.9004
"cty26139","Ottawa County, MI",0.9004
"cty26131","Ontonagon County, MI",0.9004
"cty08005","Arapahoe County, CO",0.9003
"cty30001","Beaverhead County, MT",0.9003
"cty51087","Henrico County, VA",0.9002
"cty39173","Wood County, OH",0.9002
"cty29171","Putnam County, MO",0.9002
"cty30009","Carbon County, MT",0.9002
"cty20109","Logan County, KS",0.9001
"cty17179","Tazewell County, IL",0.9001
"cty06027","Inyo County, CA",0.9
"cty23031","York County, ME",0.9
"cty53055","San Juan County, WA",0.9
"cty54079","Putnam County, WV",0.9
"cty16007","Bear Lake County, ID",0.8999
"cty46073","Jerauld County, SD",0.8998
"cty39051","Fulton County, OH",0.8998
"cty51530","Buena Vista city, VA",0.8998
"cty19013","Black Hawk County, IA",0.8997
"cty38059","Morton County, ND",0.8996
"cty27097","Morrison County, MN",0.8996
"cty19047","Crawford County, IA",0.8995
"cty21035","Calloway County, KY",0.8995
"cty54057","Mineral County, WV",0.8995
"cty19113","Linn County, IA",0.8994
"cty22089","St. Charles Parish, LA",0.8993
"cty46089","McPherson County, SD",0.8992
"cty17167","Sangamon County, IL",0.8992
"cty27117","Pipestone County, MN",0.8992
"cty56001","Albany County, WY",0.8992
"cty19051","Davis County, IA",0.8991
"cty02016","Aleutians West Census Area, AK",0.8991
"cty06105","Trinity County, CA",0.8991
"cty19171","Tama County, IA",0.899
"cty29051","Cole County, MO",0.899
"cty27137","St. Louis County, MN",0.8989
"cty19027","Carroll County, IA",0.8989
"cty39167","Washington County, OH",0.8989
"cty19109","Kossuth County, IA",0.8989
"cty41021","Gilliam County, OR",0.8988
"cty51031","Campbell County, VA",0.8988
"cty29025","Caldwell County, MO",0.8988
"cty19183","Washington County, IA",0.8988
"cty31015","Boyd County, NE",0.8988
"cty23005","Cumberland County, ME",0.8987
"cty17083","Jersey County, IL",0.8987
"cty27159","Wadena County, MN",0.8987
"cty39045","Fairfield County, OH",0.8986
"cty31067","Gage County, NE",0.8985
"cty48435","Sutton County, TX",0.8985
"cty47133","Overton County, TN",0.8984
"cty51105","Lee County, VA",0.8984
"cty19099","Jasper County, IA",0.8984
"cty55059","Kenosha County, WI",0.8983
"cty06079","San Luis Obispo County, CA",0.8983
"cty20195","Trego County, KS",0.8983
"cty31177","Washington County, NE",0.8982
"cty39159","Union County, OH",0.8982
